Date,Open,High,Low,Close,Volume
5-Jun-17,44.15,44.24,43.75,43.78,1012521
2-Jun-17,43.98,44.37,43.96,44.18,1708180
1-Jun-17,43.58,44.00,43.58,43.85,1049762
31-May-17,43.93,43.93,43.46,43.66,1022651
30-May-17,43.61,43.90,43.56,43.81,818825
26-May-17,44.39,44.39,43.70,43.79,904745
25-May-17,43.87,44.54,43.79,44.28,1230627
24-May-17,43.06,43.63,43.06,43.61,1050437
23-May-17,43.49,43.52,43.02,43.09,665499
22-May-17,43.38,43.65,43.26,43.31,716239
19-May-17,43.18,43.27,43.06,43.26,738927
18-May-17,43.09,43.50,42.82,43.12,1607958
17-May-17,43.41,43.59,43.06,43.07,1659019
16-May-17,44.13,44.36,43.65,43.70,923858
15-May-17,44.33,44.56,44.27,44.37,628721
12-May-17,43.90,44.25,43.90,44.00,717356
11-May-17,43.95,44.17,43.83,44.03,741823
10-May-17,44.17,44.28,44.00,44.20,760221
9-May-17,44.44,44.58,44.08,44.17,1007398
8-May-17,44.83,44.91,44.48,44.60,767645
5-May-17,44.23,44.87,44.20,44.83,899386
4-May-17,44.48,44.66,43.97,44.15,1144218
3-May-17,44.41,44.55,44.18,44.30,1003533
2-May-17,44.17,44.60,43.98,44.56,1524186
1-May-17,45.03,45.05,44.17,44.17,1819617
28-Apr-17,44.80,46.00,44.68,45.43,2697160
27-Apr-17,43.16,43.88,43.09,43.81,1730049
26-Apr-17,42.94,43.04,42.73,43.04,861356
25-Apr-17,42.92,43.16,42.75,42.93,1019761
24-Apr-17,43.00,43.28,42.97,43.07,790664
21-Apr-17,42.61,42.80,42.47,42.63,936811
20-Apr-17,42.77,43.32,42.67,42.74,2160329
19-Apr-17,43.38,43.49,43.18,43.35,743916
18-Apr-17,42.93,43.32,42.90,43.29,828409
17-Apr-17,42.73,43.27,42.73,43.20,900111
13-Apr-17,42.94,43.15,42.60,42.61,943350
12-Apr-17,42.67,43.02,42.62,42.97,934138
11-Apr-17,43.01,43.10,42.56,42.92,920968
10-Apr-17,43.08,43.18,42.89,43.07,756872
7-Apr-17,42.97,43.08,42.76,43.04,690773
6-Apr-17,42.92,43.19,42.83,42.90,885023
5-Apr-17,43.10,43.30,42.87,42.93,1080770
4-Apr-17,42.88,43.16,42.81,42.88,1813955
3-Apr-17,43.10,43.26,42.67,43.12,1676875
31-Mar-17,43.27,43.41,43.12,43.23,1088523
30-Mar-17,43.46,43.65,43.29,43.46,931261
29-Mar-17,43.57,43.64,43.17,43.43,1352234
28-Mar-17,43.54,43.84,43.45,43.66,1100115
27-Mar-17,43.53,43.70,43.33,43.56,700542
24-Mar-17,43.61,44.22,43.61,43.75,1429206
23-Mar-17,43.41,43.72,43.32,43.63,999052
22-Mar-17,43.03,43.46,42.95,43.40,1039048
21-Mar-17,43.35,43.88,43.10,43.17,1182772
20-Mar-17,43.29,43.62,43.08,43.11,782608
17-Mar-17,43.92,44.14,43.26,43.46,1189048
16-Mar-17,43.77,44.06,43.67,43.79,889105
15-Mar-17,43.14,43.74,43.13,43.68,846964
14-Mar-17,43.22,43.44,43.04,43.08,723094
13-Mar-17,43.17,43.50,43.17,43.31,753779
10-Mar-17,43.27,43.41,43.01,43.19,927885
9-Mar-17,42.80,43.19,42.71,42.92,894999
8-Mar-17,42.97,43.29,42.79,42.81,1350864
7-Mar-17,42.64,43.12,42.52,42.90,1108367
6-Mar-17,42.80,43.02,42.59,42.73,1253802
3-Mar-17,42.94,42.99,42.67,42.88,1467612
2-Mar-17,42.26,43.18,42.26,42.99,2735386
1-Mar-17,42.54,42.54,42.22,42.40,6855646
28-Feb-17,42.56,42.66,42.27,42.30,1951237
27-Feb-17,42.73,42.80,42.45,42.61,3020484
24-Feb-17,42.70,42.86,42.27,42.70,3139853
23-Feb-17,43.12,43.48,42.74,42.99,3343164
22-Feb-17,43.48,43.87,42.80,43.07,7427876
21-Feb-17,44.55,44.68,44.18,44.38,909181
17-Feb-17,44.76,44.99,44.50,44.94,526835
16-Feb-17,45.00,45.00,44.76,44.89,518547
15-Feb-17,44.74,45.06,44.74,44.89,692844
14-Feb-17,44.80,45.06,44.70,44.86,703909
13-Feb-17,44.39,44.94,44.39,44.83,865545
10-Feb-17,43.48,44.33,43.44,44.26,1390258
9-Feb-17,44.00,44.00,42.82,43.24,2104760
8-Feb-17,44.56,44.81,44.10,44.68,943507
7-Feb-17,44.52,44.77,44.38,44.56,840793
6-Feb-17,44.84,44.84,44.42,44.56,520704
3-Feb-17,45.06,45.12,44.76,45.02,564040
2-Feb-17,44.54,44.87,44.50,44.81,520160
1-Feb-17,44.64,44.76,44.06,44.56,763675
31-Jan-17,45.01,45.01,44.52,44.84,602521
30-Jan-17,44.93,44.96,44.52,44.72,601035
27-Jan-17,45.18,45.25,44.89,44.98,414375
26-Jan-17,45.34,45.34,45.01,45.17,394373
25-Jan-17,45.20,45.50,45.14,45.35,572354
24-Jan-17,44.94,45.14,44.73,45.04,470478
23-Jan-17,44.90,44.98,44.60,44.89,413566
20-Jan-17,44.54,45.07,44.43,45.02,769245
19-Jan-17,44.38,44.50,44.28,44.47,446791
18-Jan-17,44.78,44.88,44.24,44.33,871032
17-Jan-17,44.96,45.22,44.73,44.81,638449
13-Jan-17,44.93,45.19,44.90,45.08,460584
12-Jan-17,44.99,45.09,44.67,44.98,522398
11-Jan-17,44.66,44.92,44.50,44.88,612467
10-Jan-17,44.58,44.82,44.51,44.61,773443
9-Jan-17,44.74,44.87,44.53,44.56,794831
6-Jan-17,44.80,44.90,44.58,44.82,392646
5-Jan-17,44.29,44.87,44.16,44.73,768422
4-Jan-17,44.08,44.50,43.99,44.35,935044
3-Jan-17,43.87,44.10,43.67,43.86,525093
30-Dec-16,44.00,44.02,43.69,43.78,436973
29-Dec-16,43.78,43.97,43.77,43.84,310191
28-Dec-16,43.86,44.01,43.66,43.70,371876
27-Dec-16,43.94,44.20,43.94,44.04,206350
23-Dec-16,43.96,44.01,43.82,43.93,323617
22-Dec-16,44.14,44.18,43.87,44.03,702959
21-Dec-16,44.28,44.56,44.24,44.33,560726
20-Dec-16,44.23,44.37,44.14,44.35,600135
19-Dec-16,44.30,44.36,44.16,44.18,634174
16-Dec-16,44.54,44.62,44.30,44.33,898387
15-Dec-16,44.61,44.82,44.50,44.56,936195
14-Dec-16,45.43,45.68,44.77,44.84,1151876
13-Dec-16,45.10,45.53,44.88,45.35,727571
12-Dec-16,44.87,45.42,44.61,44.89,1092449
9-Dec-16,44.22,44.93,44.18,44.79,987691
8-Dec-16,44.07,44.30,43.94,44.27,833639
7-Dec-16,43.29,44.15,43.19,44.12,919767
6-Dec-16,43.38,43.40,43.06,43.31,889266
5-Dec-16,43.40,43.56,43.32,43.36,428139
2-Dec-16,43.31,43.53,43.22,43.31,595173
1-Dec-16,43.36,43.41,42.96,43.18,962929
30-Nov-16,43.28,43.55,43.16,43.21,647684
29-Nov-16,43.11,43.39,43.07,43.34,618923
28-Nov-16,43.07,43.32,42.88,43.16,701186
25-Nov-16,42.75,43.01,42.75,42.98,274517
23-Nov-16,42.42,42.88,42.42,42.58,819270
